"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/01001","","Autauga County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",37.1,"Percentage of Population With High Blood Pressure"
"geoId/01003","","Baldwin County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",32.4,"Percentage of Population With High Blood Pressure"
"geoId/01005","","Barbour County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",44.1,"Percentage of Population With High Blood Pressure"
"geoId/01007","","Bibb County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",39.1,"Percentage of Population With High Blood Pressure"
"geoId/01009","","Blount County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",35.4,"Percentage of Population With High Blood Pressure"
"geoId/01011","","Bullock County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",48.9,"Percentage of Population With High Blood Pressure"
"geoId/01013","","Butler County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",41.8,"Percentage of Population With High Blood Pressure"
"geoId/01015","","Calhoun County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",38,"Percentage of Population With High Blood Pressure"
"geoId/01017","","Chambers County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",41,"Percentage of Population With High Blood Pressure"
"geoId/01019","","Cherokee County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",36.4,"Percentage of Population With High Blood Pressure"
"geoId/01021","","Chilton County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",36.5,"Percentage of Population With High Blood Pressure"
"geoId/01023","","Choctaw County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",42.4,"Percentage of Population With High Blood Pressure"
"geoId/01025","","Clarke County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",41.8,"Percentage of Population With High Blood Pressure"
"geoId/01027","","Clay County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",38.4,"Percentage of Population With High Blood Pressure"
"geoId/01029","","Cleburne County","Percent_Person_WithHighBloodPressure","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",36.4,"Percentage of Population With High Blood Pressure"
