"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/01001","","Autauga County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65.4,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01003","","Baldwin County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",62.9,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01005","","Barbour County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",68.6,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01007","","Bibb County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65.3,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01009","","Blount County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",62.2,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01011","","Bullock County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",70,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01013","","Butler County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",68.1,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01015","","Calhoun County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65.3,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01017","","Chambers County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",67.2,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01019","","Cherokee County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",64.4,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
