"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/01001","","Autauga County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",53218,"Population With Health Insurance"
"geoId/01003","","Baldwin County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",208602,"Population With Health Insurance"
"geoId/01005","","Barbour County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",19544,"Population With Health Insurance"
"geoId/01007","","Bibb County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",19090,"Population With Health Insurance"
"geoId/01009","","Blount County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",52639,"Population With Health Insurance"
"geoId/01011","","Bullock County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",8464,"Population With Health Insurance"
"geoId/01013","","Butler County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",16633,"Population With Health Insurance"
"geoId/01015","","Calhoun County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",102146,"Population With Health Insurance"
"geoId/01017","","Chambers County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",30446,"Population With Health Insurance"
"geoId/01019","","Cherokee County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",22246,"Population With Health Insurance"
"geoId/01021","","Chilton County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",39635,"Population With Health Insurance"
"geoId/01023","","Choctaw County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",11509,"Population With Health Insurance"
"geoId/01025","","Clarke County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",20584,"Population With Health Insurance"
"geoId/01027","","Clay County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",12795,"Population With Health Insurance"
"geoId/01029","","Cleburne County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",13477,"Population With Health Insurance"
"geoId/01031","","Coffee County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",45876,"Population With Health Insurance"
"geoId/01033","","Colbert County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",52270,"Population With Health Insurance"
"geoId/01035","","Conecuh County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",10530,"Population With Health Insurance"
"geoId/01037","","Coosa County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",9307,"Population With Health Insurance"
"geoId/01039","","Covington County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",33242,"Population With Health Insurance"
"geoId/01041","","Crenshaw County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",11828,"Population With Health Insurance"
"geoId/01043","","Cullman County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",78176,"Population With Health Insurance"
"geoId/01045","","Dale County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",42161,"Population With Health Insurance"
"geoId/01047","","Dallas County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",34406,"Population With Health Insurance"
"geoId/01049","","DeKalb County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",60510,"Population With Health Insurance"
"geoId/01051","","Elmore County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",76051,"Population With Health Insurance"
"geoId/01053","","Escambia County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",30047,"Population With Health Insurance"
"geoId/01055","","Etowah County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",90385,"Population With Health Insurance"
"geoId/01057","","Fayette County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",14477,"Population With Health Insurance"
"geoId/01059","","Franklin County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",27792,"Population With Health Insurance"
"geoId/01061","","Geneva County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",23143,"Population With Health Insurance"
"geoId/01063","","Greene County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",6569,"Population With Health Insurance"
"geoId/01065","","Hale County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",13501,"Population With Health Insurance"
"geoId/01067","","Henry County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",15363,"Population With Health Insurance"
"geoId/01069","","Houston County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",93527,"Population With Health Insurance"
"geoId/01071","","Jackson County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",46371,"Population With Health Insurance"
"geoId/01073","","Jefferson County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",605010,"Population With Health Insurance"
"geoId/01075","","Lamar County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",12652,"Population With Health Insurance"
"geoId/01077","","Lauderdale County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",84420,"Population With Health Insurance"
"geoId/01079","","Lawrence County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",29861,"Population With Health Insurance"
"geoId/01081","","Lee County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",158970,"Population With Health Insurance"
"geoId/01083","","Limestone County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",92925,"Population With Health Insurance"
"geoId/01085","","Lowndes County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",9107,"Population With Health Insurance"
"geoId/01087","","Macon County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",16837,"Population With Health Insurance"
"geoId/01089","","Madison County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",354416,"Population With Health Insurance"
"geoId/01091","","Marengo County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",17193,"Population With Health Insurance"
"geoId/01093","","Marion County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",25472,"Population With Health Insurance"
"geoId/01095","","Marshall County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",86039,"Population With Health Insurance"
"geoId/01097","","Mobile County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",363133,"Population With Health Insurance"
"geoId/01099","","Monroe County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",17353,"Population With Health Insurance"
"geoId/01101","","Montgomery County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",198747,"Population With Health Insurance"
"geoId/01103","","Morgan County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",107852,"Population With Health Insurance"
